estado,data,ML,Low_90,High_90,Low_50,High_50
AM,2020-04-06,3.0,0.86,6.84,1.86,4.2700000000000005
AM,2020-04-07,3.13,0.8200000000000001,6.86,1.9000000000000001,4.3500000000000005
AM,2020-04-08,3.0700000000000003,0.68,6.48,1.92,4.28
AM,2020-04-09,3.17,0.64,6.43,1.92,4.3
AM,2020-04-10,3.23,0.58,6.3100000000000005,1.98,4.3500000000000005
AM,2020-04-11,3.25,0.58,6.21,1.98,4.33
AM,2020-04-12,3.25,0.53,6.05,2.11,4.42
AM,2020-04-13,3.38,0.6,6.1000000000000005,2.19,4.49
AM,2020-04-14,3.45,0.6900000000000001,6.1000000000000005,2.32,4.58
AM,2020-04-15,3.46,0.79,6.07,2.2600000000000002,4.47
AM,2020-04-16,3.44,0.75,5.89,2.24,4.39
AM,2020-04-17,3.2600000000000002,0.64,5.58,2.11,4.19
AM,2020-04-18,2.97,0.44,5.15,1.82,3.84
AM,2020-04-19,2.72,0.32,4.82,1.6,3.5700000000000003
BA,2020-04-18,3.0,0.86,6.84,1.86,4.2700000000000005
BA,2020-04-19,2.98,0.76,6.5600000000000005,1.92,4.26
CE,2020-04-07,3.0,0.86,6.84,1.86,4.2700000000000005
CE,2020-04-08,3.12,0.8,6.76,1.8900000000000001,4.3100000000000005
CE,2020-04-09,3.2,0.78,6.640000000000001,2.05,4.44
CE,2020-04-10,3.09,0.65,6.23,1.8900000000000001,4.19
CE,2020-04-11,3.2800000000000002,0.6900000000000001,6.33,2.12,4.45
CE,2020-04-12,3.12,0.5,5.88,1.92,4.17
CE,2020-04-13,3.11,0.46,5.74,1.99,4.21
CE,2020-04-14,3.22,0.5700000000000001,5.83,1.99,4.21
CE,2020-04-15,3.14,0.47000000000000003,5.59,1.96,4.13
CE,2020-04-16,3.19,0.56,5.61,2.0100000000000002,4.15
CE,2020-04-17,3.0700000000000003,0.51,5.4,1.8900000000000001,3.98
CE,2020-04-18,2.95,0.4,5.15,1.85,3.89
CE,2020-04-19,2.71,0.27,4.8100000000000005,1.61,3.6
PE,2020-04-05,3.0,0.86,6.84,1.86,4.2700000000000005
PE,2020-04-06,3.12,0.8,6.76,1.8900000000000001,4.3100000000000005
PE,2020-04-07,3.2,0.78,6.640000000000001,2.05,4.44
PE,2020-04-08,3.24,0.76,6.49,2.0100000000000002,4.37
PE,2020-04-09,3.1,0.54,6.01,1.9100000000000001,4.18
PE,2020-04-10,3.12,0.52,5.9,1.94,4.19
PE,2020-04-11,3.11,0.48,5.76,1.87,4.1
PE,2020-04-12,3.22,0.6,5.86,2.0,4.22
PE,2020-04-13,3.2800000000000002,0.58,5.78,2.05,4.24
PE,2020-04-14,3.43,0.74,5.89,2.25,4.4
PE,2020-04-15,3.38,0.76,5.75,2.18,4.2700000000000005
PE,2020-04-16,3.06,0.6,5.34,2.0,4.01
PE,2020-04-17,2.8000000000000003,0.37,4.9,1.7,3.66
PE,2020-04-18,2.45,0.18,4.44,1.42,3.3200000000000003
PE,2020-04-19,2.0,0.01,3.93,0.87,2.69
RJ,2020-04-14,3.0,0.86,6.84,1.86,4.2700000000000005
RJ,2020-04-15,3.29,1.1,6.38,2.17,4.36
RJ,2020-04-16,3.06,0.97,5.5600000000000005,2.11,4.01
RJ,2020-04-17,2.8000000000000003,0.75,4.95,1.8900000000000001,3.63
RJ,2020-04-18,2.36,0.38,4.23,1.44,3.0700000000000003
RJ,2020-04-19,2.0100000000000002,0.2,3.7600000000000002,1.08,2.65
SP,2020-04-01,3.0,0.86,6.84,1.86,4.2700000000000005
SP,2020-04-02,2.95,0.84,5.9,1.94,4.0200000000000005
SP,2020-04-03,2.79,0.74,5.29,1.84,3.72
SP,2020-04-04,2.84,0.78,5.16,1.85,3.67
SP,2020-04-05,2.93,0.8,5.07,1.96,3.73
SP,2020-04-06,3.22,1.11,5.3,2.24,3.97
SP,2020-04-07,3.29,1.21,5.23,2.39,4.04
SP,2020-04-08,2.99,1.06,4.88,2.08,3.66
SP,2020-04-09,2.56,0.62,4.2700000000000005,1.74,3.2600000000000002
SP,2020-04-10,1.95,0.17,3.5,1.09,2.56
SP,2020-04-11,1.45,0.0,2.99,0.65,2.0300000000000002
SP,2020-04-12,1.37,0.0,2.97,0.56,1.93
SP,2020-04-13,1.82,0.17,3.43,0.99,2.45
SP,2020-04-14,2.41,0.51,4.04,1.53,3.0300000000000002
SP,2020-04-15,2.68,0.84,4.34,1.9100000000000001,3.36
SP,2020-04-16,2.37,0.62,3.97,1.54,2.95
SP,2020-04-17,1.96,0.3,3.45,1.23,2.59
SP,2020-04-18,1.31,0.0,2.71,0.61,1.86
SP,2020-04-19,0.75,0.0,2.31,0.16,1.22
